to remove,to not remove
gaming,devops
cooking,serverfault
photo,superuser
diy,webapps
money,webmasters
english,gamedev
apple,stats
bicycles,math
rpg,gis
boardgames,tex
physics,askubuntu
homebrew,stackapps
writing,ux
scifi,unix
skeptics,wordpress
fitness,cstheory
drupal,softwareengineering
parenting,electronics
music,android
german,security
japanese,video
judaism,graphicdesign
christianity,dba
philosophy,codereview
gardening,codegolf
travel,quant
french,pm
bitcoin,mechanics
linguistics,sharepoint
hermeneutics,sqa
history,crypto
spanish,dsp
bricks,mathematica
scicomp,cs
movies,raspberrypi
chinese,salesforce
biology,robotics
poker,expressionengine
psychology,tridion
outdoors,reverseengineering
martialarts,networkengineering
sports,opendata
academia,freelancing
workplace,blender
windowsphone,mathoverflow.net
chemistry,tor
chess,softwarerecs
russian,arduino
islam,quantumcomputing
patents,joomla
politics,datascience
anime,emacs
magento,engineering
genealogy,vi
ell,opensource
sustainability,elementaryos
space,computergraphics
sound,ethereum
astronomy,ai
pets,iot
ham,
italian,
pt.stackoverflow,or
aviation,
ebooks,
alcohol,
cs50,
expatriates,
matheducators,
earthsciene,
puzzling,
craftcms,
buddhism,
hinduism,
communitybuilding,
worldbuilding,
ja.stackoverflow,
hsm,
economics,
lifehacks,
coffee,
musicfans,
woodworking,
civicrm,
medicalsciences,
ru.stackoverflow,
rus,
mythology,
law,
portuguese,
hardwarerecs,
es.stackoverflow,
earthsciene,
3dprinting,
latin,
languagelearning,
crafts,
korean,
retrocomputing,
monero,
esperanto,
sitecore,
literature,
vegetarianism,
ukrainian,
bioinformatics,
cseducators,
interpersonal,
iota,
stellar,
conlang,
eosio,
tezos,
drones,
materials,
earthscience,
meta,
