API_Name,Category,Followers
ShopWindow API,mmerce,18
Ooyala Backlot API,Video,3
Magnify.net API,Video,6
AES WebLink API,Government,15
Feedbooks API,Telephony,16
AllCDCovers API,Music,50
Socialight API,Social,5
Xurrency API,Financial,18
MyUpcoming API,Events,17
Yamli API,Search,8
EBI API,Medical,18
BankVal International API,Financial,16
88 Miles API,Project Management,11
ShopWindow API,mmerce,18
Ooyala Backlot API,Video,3
Magnify.net API,Video,6
AES WebLink API,Government,15
Feedbooks API,Telephony,16
AllCDCovers API,Music,50
Socialight API,Social,5
Xurrency API,Financial,18
MyUpcoming API,Events,17
Yamli API,Search,8
EBI API,Medical,18
BankVal International API,Financial,16
88 Miles API,Project Management,11
Huddle API,Project Management,9
WorldCat Identities API,Reference,16
Lighthouse API,Project Management,10
XigniteMoneyMarkets API,Financial,7
XigniteGlobalMetals API,Financial,116
XigniteFinancials API,Financial,9
TextMarks SMS Sending API,Messaging,10
Rediff API,Social,143
Sindice API,Search,11
Allegro API,mmerce,63
KISTI API,Search,7
FreeAgent API,Enterprise,10
Feedoor API,Feeds,5
Huddle API,Project Management,9
WorldCat Identities API,Reference,16
Lighthouse API,Project Management,10
XigniteMoneyMarkets API,Financial,7
XigniteGlobalMetals API,Financial,116
XigniteFinancials API,Financial,9
TextMarks SMS Sending API,Messaging,10
Rediff API,Social,143
Sindice API,Search,11
Allegro API,mmerce,63
KISTI API,Search,7
FreeAgent API,Enterprise,10
Feedoor API,Feeds,5
HeatMap API,Mapping,30
Tell Them What You Think API,Government,4
aql vCard API,Enterprise,19
Fizber Events API,Events,12
Kalisty API,Social,5
CellTrust API,Messaging,14
Voki API,Social,12
Wetpaint Injected API,Wiki,6
Zaypay API,Payments,14
Cortera API,Reference,9
PayLoadz API,Storage,3
PilotOutlook API,Reference,17
ProStores API,mmerce,15
HeatMap API,Mapping,30
Tell Them What You Think API,Government,4
aql vCard API,Enterprise,19
Fizber Events API,Events,12
Kalisty API,Social,5
CellTrust API,Messaging,14
Voki API,Social,12
Wetpaint Injected API,Wiki,6
Zaypay API,Payments,14
Cortera API,Reference,9
PayLoadz API,Storage,3
PilotOutlook API,Reference,17
ProStores API,mmerce,15
XigniteAnalysts API,Financial,9
Aria API,Enterprise,28
XigniteFutures API,Financial,6
Scopus API,ntent,72
Xignite Calendar API,Financial,33
Boldchat API,hat,28
Callfire Campaign Service API,Telephony,8
Twitxr API,Photos,5
Meez API,Social,82
XigniteFunds API,Financial,12
MindMeister API,Office,19
PostMapper API,Blogging,4
Pando API,File Sharing,6
XigniteAnalysts API,Financial,9
Aria API,Enterprise,28
XigniteFutures API,Financial,6
Scopus API,ntent,72
Xignite Calendar API,Financial,33
Boldchat API,hat,28
Callfire Campaign Service API,Telephony,8
Twitxr API,Photos,5
Meez API,Social,82
XigniteFunds API,Financial,12
MindMeister API,Office,19
PostMapper API,Blogging,4
Pando API,File Sharing,6
Opensubtitles API,Video,197
Boo-box API,Recommendations,7
XigniteRates API,Financial,16
Litmus API,Other,9
Email2HTTP API,Email,17
Mugr API,Photos,20
Right Media Exchange API,Advertising,13
Snipplr API,Other,6
Bountii Price Search API,mmerce,33
Jott API,Messaging,10
Shipwire API,Shipping,15
Spinn3r API,Data-as-a-Service,158
TinyLoad API,Storage,6
Opensubtitles API,Video,197
Boo-box API,Recommendations,7
XigniteRates API,Financial,16
Litmus API,Other,9
Email2HTTP API,Email,17
Mugr API,Photos,20
Right Media Exchange API,Advertising,13
Snipplr API,Other,6
Bountii Price Search API,mmerce,33
Jott API,Messaging,10
Shipwire API,Shipping,15
Spinn3r API,Data-as-a-Service,158
TinyLoad API,Storage,6
